Dátum,Registration,New,Elhunytak,Gyógyultak,Mintavétel száma,Egymillió lakosra elvégzett tesztek száma,Kórházi karanténba zártak száma,Regisztrált esetek százalékos változása az előző naphoz viszonyítva,Pozitív tesztek aránya,A mintavételek számának százalékos változása az előző naphoz képest,Aktív fertőzöttek száma,Elhunytak aránya Magyarországon,Gyógyultak aránya Magyarországon,Hatósági házi karantén,Új mintavételek száma,Új esetek aránya az új mintavételekhez képest,New Deaths,Új gyógyultak naponta,Kórházi ápoltak száma,Lélegeztetőgépen lévők száma,Aktív esetek/összes eset,Kórházi ápoltak számának változása az előző naphoz képest,Lélegeztetőgépen lévők számának változása az előző naphoz képest,Kórházi ápoltak aránya az aktív eseteken belül,Lélegeztetőgépen lévők aránya a kórházi ápoltakon belül,Növekedési faktor,Hétnapos mozgóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag.1,Hétnapos csúszóátlag.2,Hétnapos csúszóátlag.3,Beoltottak száma Magyarországon,Új beoltottak száma Magyarországon,Hétnapos csúszóátlag.4,Második oltás,Második oltás napi,Hétnapos csúszóátlag.5,Hétnapos csúszóátlag.6
2020-04-02,585.0,60.0,21.0,42.0,16401.0,1673.5714285714284,59.0,0.1143,0.0357,0.078,522.0,0.0359,0.0718,,1193.0,0.0503,1.0,2.0,,,0.8923076923076924,0.0,0.0,,,1.7234042553191489,2.4657386172537277,46.285714285714285,1.7142857142857142,1199.4285714285713,0.03945714285714285,,,,,,,2.0
2020-04-03,623.0,38.0,26.0,43.0,17769.0,1813.1632653061224,,0.065,0.0351,0.083,554.0,0.0417,0.069,10668.0,1368.0,0.0278,5.0,1.0,,,0.8892455858747994,0.0,0.0,,,1.5023255813953489,2.2149885920850982,46.142857142857146,2.4285714285714284,1213.4285714285713,0.03904285714285714,,,,,,,1.2857142857142858
2020-04-04,678.0,55.0,32.0,58.0,19424.0,1982.0408163265304,,0.0883,0.0349,0.093,588.0,0.0472,0.0855,12492.0,1655.0,0.0332,6.0,15.0,,,0.8672566371681416,0.0,0.0,,,1.3958333333333333,1.9447260350074724,47.857142857142854,3.142857142857143,1303.0,0.03781428571428571,,,,,,,3.4285714285714284
2020-04-05,733.0,55.0,34.0,66.0,21250.0,2168.3673469387754,,0.0811,0.0345,0.094,633.0,0.0464,0.09,13435.0,1826.0,0.0301,2.0,8.0,,,0.8635743519781719,0.0,0.0,,,1.1732851985559567,1.7126268065183525,46.42857142857143,3.142857142857143,1300.2857142857142,0.037085714285714284,,,,,,,4.571428571428571
2020-04-06,744.0,11.0,38.0,67.0,22282.0,2273.6734693877547,,0.015,0.0334,0.049,639.0,0.0511,0.0901,14345.0,1032.0,0.0107,4.0,1.0,,,0.8588709677419355,0.0,0.0,,,1.0607142857142857,1.5516574187632504,42.42857142857143,3.4285714285714284,1283.0,0.03378571428571428,,,,,,,4.714285714285714
2020-04-07,817.0,73.0,47.0,71.0,23746.0,2423.0612244897957,,0.0981,0.0344,0.066,699.0,0.0575,0.0869,14997.0,1464.0,0.0499,9.0,4.0,,,0.8555691554467564,0.0,0.0,,,1.0655737704918034,1.3858426185102546,46.42857142857143,4.428571428571429,1371.4285714285713,0.033299999999999996,,,,,,,4.857142857142857
2020-04-08,895.0,78.0,58.0,94.0,25748.0,2627.34693877551,,0.0955,0.0348,0.084,743.0,0.0648,0.105,15481.0,2002.0,0.039,11.0,23.0,,,0.8301675977653631,0.0,0.0,,,1.2374581939799332,1.3083706598271156,52.857142857142854,5.428571428571429,1505.7142857142858,0.034428571428571426,,,,,,,7.714285714285714
2020-04-09,980.0,85.0,66.0,96.0,27826.0,2839.3877551020405,,0.095,0.0352,0.081,818.0,0.0673,0.098,16006.0,2078.0,0.0409,8.0,2.0,,,0.8346938775510204,0.0,0.0,,,1.2191358024691359,1.2363323094199712,56.42857142857143,6.428571428571429,1632.142857142857,0.03308571428571429,,,,,,,7.714285714285714
2020-04-10,1190.0,210.0,77.0,112.0,29948.0,3055.9183673469383,,0.2143,0.0397,0.076,1001.0,0.0647,0.0941,16006.0,2122.0,0.099,11.0,16.0,,,0.8411764705882353,0.0,0.0,,,1.7554179566563468,1.272488363028685,81.0,7.285714285714286,1739.857142857143,0.04325714285714285,,,,,,,9.857142857142858
2020-04-11,1310.0,120.0,85.0,115.0,31961.0,3261.326530612245,,0.1008,0.041,0.067,1110.0,0.0649,0.0878,17490.0,2013.0,0.0596,8.0,3.0,,,0.8473282442748091,0.0,0.0,,,1.8865671641791044,1.3425931960066524,90.28571428571429,7.571428571428571,1791.0,0.047028571428571427,,,,,,,8.142857142857142
